BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
06Y08;Hermann-Ehlers-Oberschule;Elisenstr. 3-4;12169;Gymnasium;52.45297;13.33373;50;6 %;49;6 %;6 %;;;
06Y09;Fichtenberg-Oberschule;Rothenburgstr. 18;12165;Gymnasium;52.45398;13.31302;69;1 %;73;2 %;1 %;;1 %;
06Y10;Lilienthal-Gymnasium;Ringstr. 2-3;12203;Gymnasium;52.43595;13.31215;58;2 %;58;2 %;;;2 %;
06Y11;Goethe-Gymnasium Lichterfelde;Drakestr. 72-75;12205;Gymnasium;52.434929;13.305363;66;0 %;65;2 %;2 %;;;
06Y12;Willi-Graf-Gymnasium;Ostpreußendamm 166;12207;Gymnasium;52.43469;13.32096;46;0 %;;;;;;
06Y13;Gymnasium Steglitz;Heesestr. 15;12169;Gymnasium;52.45671;13.32644;72;0 %;72;2 %;1 %;;1 %;
07A05;Kolleg Schöneberg;Nürnberger Str. 63;10787;;52.503250;13.341364;40;0 %;;;;;;
07A06;Volkshochschule Tempelhof-Schöneberg;Barbarossapl. 5;10781;;52.492305;13.349828;10;0 %;;;;;;
07B02;Marie-Elisabeth-Lüders-Oberschule;Steinmetzstraße 79;10783;;52.499243;13.364800;47;4 %;38;8 %;3 %;;5 %;
07B03;OSZ Lotis (Logistik, Touristik und Steuern);Dudenstraße 35/37;10965;;52.484707;13.380283;117;1 %;115;3 %;3 %;;;
07G01;Spreewald-Grundschule;Pallasstr. 15;10781;Grundschule;52.49539;13.35693;28;7 %;32;16 %;16 %;;;
07G02;Finow-Grundschule;Welserstr. 16-22;10777;Grundschule;52.49823;13.34251;44;5 %;43;2 %;2 %;;;
07G03;Werbellinsee-Grundschule;Luitpoldstr. 38;10781;Grundschule;52.495036;13.348236;37;3 %;43;7 %;7 %;;;
07G05;Havelland-Grundschule;Kolonnenstr. 30;10829;Grundschule;52.484772;13.367681;32;3 %;34;6 %;6 %;;;
07G06;Sternberg-Grundschule;Mettestr. 8;10825;Grundschule;52.48047;13.33924;25;4 %;23;13 %;9 %;;4 %;
07G07;Lindenhof-Grundschule;Reglinstr. 29;12105;Grundschule;52.45809;13.36325;29;0 %;29;3 %;3 %;;;
